date,/m/01b_06,batch_id
2021-06-06 00:00:00,73,1
2021-06-06 01:00:00,74,1
2021-06-06 02:00:00,62,1
2021-06-06 03:00:00,75,1
2021-06-06 04:00:00,49,1
2021-06-06 05:00:00,47,1
2021-06-06 06:00:00,50,1
2021-06-06 07:00:00,42,1
2021-06-06 08:00:00,36,1
2021-06-06 09:00:00,33,1
2021-06-06 10:00:00,35,1
2021-06-06 11:00:00,40,1
2021-06-06 12:00:00,39,1
2021-06-06 13:00:00,42,1
2021-06-06 14:00:00,36,1
2021-06-06 15:00:00,35,1
2021-06-06 16:00:00,35,1
2021-06-06 17:00:00,41,1
2021-06-06 18:00:00,44,1
2021-06-06 19:00:00,46,1
2021-06-06 20:00:00,52,1
2021-06-06 21:00:00,68,1
2021-06-06 22:00:00,63,1
2021-06-06 23:00:00,78,1
2021-06-07 00:00:00,63,1
2021-06-07 01:00:00,85,1
2021-06-07 02:00:00,89,1
2021-06-07 03:00:00,75,1
2021-06-07 04:00:00,56,1
2021-06-07 05:00:00,59,1
2021-06-07 06:00:00,39,1
2021-06-07 07:00:00,33,1
2021-06-07 08:00:00,30,1
2021-06-07 09:00:00,32,1
2021-06-07 10:00:00,36,1
2021-06-07 11:00:00,35,1
2021-06-07 12:00:00,36,1
2021-06-07 13:00:00,33,1
2021-06-07 14:00:00,37,1
2021-06-07 15:00:00,32,1
2021-06-07 16:00:00,36,1
2021-06-07 17:00:00,42,1
2021-06-07 18:00:00,48,1
2021-06-07 19:00:00,44,1
2021-06-07 20:00:00,53,1
2021-06-07 21:00:00,57,1
2021-06-07 22:00:00,54,1
2021-06-07 23:00:00,70,1
2021-06-08 00:00:00,100,1
2021-06-08 01:00:00,88,1
2021-06-08 02:00:00,91,1
2021-06-08 03:00:00,42,1
2021-06-08 04:00:00,43,1
2021-06-08 05:00:00,48,1
2021-06-08 06:00:00,42,1
2021-06-08 07:00:00,30,1
2021-06-08 08:00:00,35,1
2021-06-08 09:00:00,37,1
2021-06-08 10:00:00,34,1
2021-06-08 11:00:00,38,1
2021-06-08 12:00:00,31,1
2021-06-08 13:00:00,30,1
2021-06-08 14:00:00,31,1
2021-06-08 15:00:00,36,1
2021-06-08 16:00:00,36,1
2021-06-08 17:00:00,42,1
2021-06-08 18:00:00,39,1
2021-06-08 19:00:00,43,1
2021-06-08 20:00:00,50,1
2021-06-08 21:00:00,52,1
2021-06-08 22:00:00,71,1
2021-06-08 23:00:00,65,1
2021-06-09 00:00:00,100,1
2021-06-09 01:00:00,78,1
2021-06-09 02:00:00,92,1
2021-06-09 03:00:00,46,1
2021-06-09 04:00:00,47,1
2021-06-09 05:00:00,43,1
2021-06-09 06:00:00,33,1
2021-06-09 07:00:00,30,1
2021-06-09 08:00:00,29,1
2021-06-09 09:00:00,34,1
2021-06-09 10:00:00,32,1
2021-06-09 11:00:00,35,1
2021-06-09 12:00:00,36,1
2021-06-09 13:00:00,31,1
2021-06-09 14:00:00,39,1
2021-06-09 15:00:00,37,1
2021-06-09 16:00:00,36,1
2021-06-09 17:00:00,39,1
2021-06-09 18:00:00,42,1
2021-06-09 19:00:00,44,1
2021-06-09 20:00:00,55,1
2021-06-09 21:00:00,60,1
2021-06-09 22:00:00,57,1
2021-06-09 23:00:00,47,1
2021-06-10 00:00:00,87,1
2021-06-10 01:00:00,96,1
2021-06-10 02:00:00,57,1
2021-06-10 03:00:00,59,1
2021-06-10 04:00:00,50,1
2021-06-10 05:00:00,55,1
2021-06-10 06:00:00,38,1
2021-06-10 07:00:00,34,1
2021-06-10 08:00:00,27,1
2021-06-10 09:00:00,33,1
2021-06-10 10:00:00,30,1
2021-06-10 11:00:00,33,1
2021-06-10 12:00:00,32,1
2021-06-10 13:00:00,35,1
2021-06-10 14:00:00,36,1
2021-06-10 15:00:00,30,1
2021-06-10 16:00:00,46,1
2021-06-10 17:00:00,41,1
2021-06-10 18:00:00,40,1
2021-06-10 19:00:00,38,1
2021-06-10 20:00:00,53,1
2021-06-10 21:00:00,63,1
2021-06-10 22:00:00,62,1
2021-06-10 23:00:00,55,1
2021-06-11 00:00:00,70,1
2021-06-11 01:00:00,63,1
2021-06-11 02:00:00,88,1
2021-06-11 03:00:00,67,1
2021-06-11 04:00:00,59,1
2021-06-11 05:00:00,48,1
2021-06-11 06:00:00,41,1
2021-06-11 07:00:00,33,1
2021-06-11 08:00:00,40,1
2021-06-11 09:00:00,29,1
2021-06-11 10:00:00,31,1
2021-06-11 11:00:00,33,1
2021-06-11 12:00:00,28,1
2021-06-11 13:00:00,34,1
2021-06-11 14:00:00,34,1
2021-06-11 15:00:00,36,1
2021-06-11 16:00:00,33,1
2021-06-11 17:00:00,36,1
2021-06-11 18:00:00,36,1
2021-06-11 19:00:00,39,1
2021-06-11 20:00:00,45,1
2021-06-11 21:00:00,37,1
2021-06-11 22:00:00,54,1
2021-06-11 23:00:00,63,1
2021-06-12 00:00:00,73,1
2021-06-12 01:00:00,59,1
2021-06-12 02:00:00,60,1
2021-06-12 03:00:00,69,1
2021-06-12 04:00:00,40,1
2021-06-12 05:00:00,41,1
2021-06-12 06:00:00,44,1
2021-06-12 07:00:00,38,1
2021-06-12 08:00:00,36,1
2021-06-12 09:00:00,40,1
2021-06-12 10:00:00,33,1
2021-06-12 11:00:00,31,1
2021-06-12 12:00:00,34,1
2021-06-12 13:00:00,36,1
2021-06-12 14:00:00,29,1
2021-06-12 15:00:00,35,1
2021-06-12 16:00:00,36,1
2021-06-12 17:00:00,28,1
2021-06-12 18:00:00,31,1
2021-06-12 19:00:00,40,1
2021-06-12 20:00:00,40,1
2021-06-12 21:00:00,50,1
2021-06-12 22:00:00,61,1
2021-06-12 23:00:00,60,1
2021-06-13 00:00:00,60,1
2021-06-13 01:00:00,72,1
2021-06-13 02:00:00,81,1
2021-06-13 03:00:00,87,1
2021-06-13 04:00:00,63,1
2021-06-13 05:00:00,48,1
2021-06-13 06:00:00,40,1
2021-06-13 07:00:00,42,1
2021-06-13 08:00:00,36,1
2021-06-13 09:00:00,33,1
2021-06-13 10:00:00,38,1
2021-06-13 11:00:00,34,1
2021-06-13 12:00:00,32,1
2021-06-13 13:00:00,33,1
2021-06-13 14:00:00,35,1
2021-06-13 15:00:00,34,1
2021-06-13 16:00:00,31,1
2021-06-13 17:00:00,35,1
2021-06-13 18:00:00,33,1
2021-06-13 19:00:00,43,1
2021-06-13 20:00:00,49,1
2021-06-13 21:00:00,59,1
2021-06-13 22:00:00,66,1
2021-06-13 23:00:00,54,1
